sebgian,sebagian
sekalih,sekali
sekalii,sekali
semangtt,semangat
semngat,semangat
setau,setahu
sgla,segala
sgt2,sangat-sangat
shg,sehingga
skarang,sekarang
skit,sakit
skli,sekali
skrang,sekarang
skrg,sekarang
skrng,sekarang
slalu,selalu
sll,selalu
sm,sama
smg,semoga
smga,semoga
smntra,sementara
smoga,semoga
smpai,sampai
smpe,sampai
smua,semua
sngt,sangat
sonfar,sejauh ini
sperti,seperti
sprti,seperti
sru,seru
sruh,suruh
stelah,setelah
sudh,sudah
sy,saya
sya,saya
syg,sayang
syurga,surga
t4,tempat
tau,tahu
taun,tahun
taunya,tahunya
tdak,tidak
tdk,tidak
terhdp,terhadap
ternyta,ternyata
teruss,terus
teruuss,terus
tetep,tetap
tgl,tanggal
thn,tahun
thx,terimakasih
tidk,tidak
tifak,tidak
tks,thanks
tlah,telah
tlong,tolong
tolg,tolong
tp,tapi
tpi,tapi
trima,terima
trinakasih,terimakasih
trmksh,terimakasih
trs,terus
trus,terus
tsb,tersebut
ttep,tetap
tuh,itu
tuk,untuk
tw,tahu
udaa,sudah
udah,sudah
udahh,sudah
udh,sudah
udu,sudah
untk,untuk
updeat,update
ush,usah
utk,untuk
vanget,banget
verif,verifikasi
verifnya,verifikasinya
wajhnya,wajahnya
walaupn,walaupun
wktu,waktu
y,ya
yaa,ya
yah,ya
yaudah,ya sudah
yg,yang
yng,yang
